"","McAllister.LTS.JH22","McAllister.LTS.JH23","McAllister.LTS.JH24","McAllister.LTS.JH25","McAllister.LTS.JH26","McAllister.LTS.JH27","McAllister.LTS.JH28","McAllister.LTS.JH29","McAllister.LTS.JH30","McAllister.LTS.JH31","McAllister.LTS.JH32","McAllister.LTS.JH33","McAllister.LTS.JH34","McAllister.LTS.JH35","McAllister.LTS.JH36","McAllister.LTS.MD1","McAllister.LTS.MD10","McAllister.LTS.MD11","McAllister.LTS.MD12","McAllister.LTS.MD13","McAllister.LTS.MD14","McAllister.LTS.MD15","McAllister.LTS.MD16","McAllister.LTS.MD17","McAllister.LTS.MD18","McAllister.LTS.MD19","McAllister.LTS.MD2","McAllister.LTS.MD20","McAllister.LTS.MD21","McAllister.LTS.MD3","McAllister.LTS.MD4","McAllister.LTS.MD5","McAllister.LTS.MD6","McAllister.LTS.MD7","McAllister.LTS.MD8","McAllister.LTS.MD9","McAllister.STS.JH23","McAllister.STS.JH24","McAllister.STS.JH25","McAllister.STS.JH26","McAllister.STS.JH27","McAllister.STS.JH28","McAllister.STS.JH29","McAllister.STS.JH30","McAllister.STS.JH31","McAllister.STS.JH32","McAllister.STS.MD1","McAllister.STS.MD10","McAllister.STS.MD11","McAllister.STS.MD12","McAllister.STS.MD13","McAllister.STS.MD14","McAllister.STS.MD15","McAllister.STS.MD16","McAllister.STS.MD17","McAllister.STS.MD18","McAllister.STS.MD19","McAllister.STS.MD2","McAllister.STS.MD20","McAllister.STS.MD21","McAllister.STS.MD22","McAllister.STS.MD3","McAllister.STS.MD4","McAllister.STS.MD5","McAllister.STS.MD6","McAllister.STS.MD7","McAllister.STS.MD8","McAllister.STS.MD9"
"Zotu.0001",1052,309,143,0,0,301,448,543,2382,657,263,58,584,392,17,2660,1737,656,3564,26240,257,771,3167,688,8263,1755,2851,163,3429,4914,2811,5010,9897,4115,923,5034,584,0,0,1,0,0,2,0,0,0,0,66,1,0,39,0,1,0,0,0,0,0,0,121,1,0,915,536,1,26,0,0
"Zotu.0002",0,0,1,0,0,0,0,7,1661,0,0,0,0,0,0,1,0,3,2,0,0,9,1,0,2,3410,1,313,2,7,0,146,1,25,76989,4,0,0,0,1,0,0,0,1,1,0,1,1,0,2313,1,0,90,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0
"Zotu.0003",1,73,1406,2,112,397,394,471,3,1180,1234,93,2008,510,846,8418,1315,697,362,440,1024,1883,29,343,4685,5676,557,433,1765,879,189,896,932,379,172,1621,185,239,45,1788,405,1093,2301,303,462,1024,365,2956,1168,106,1411,32,1,79,998,9509,129,1945,82,894,3150,2431,466,830,1233,763,2064,642
"Zotu.0004",8622,1025,509,968,1288,733,1770,1721,5873,1755,641,681,1197,4822,228,648,873,2253,1328,879,1185,4509,1042,1072,3325,2964,835,342,4,639,1458,1926,863,600,236,2460,361,0,0,349,0,281,1667,860,342,284,5887,1545,37,632,1932,299,681,994,296,14,1438,1344,273,2250,393,0,1706,5,711,1,406,1947
"Zotu.0005",911,399,2541,144,0,0,199,760,902,0,1395,447,2276,986,0,180,608,530,0,374,77,3281,104,298,3554,1501,312,182,1167,359,734,1001,0,223,580,1879,651,0,0,438,0,168,1,474,884,228,1370,4989,189,1208,984,150,1133,1200,367,81,847,559,0,533,412,0,579,508,106,549,602,370
"Zotu.0006",0,0,0,0,0,5,0,0,0,0,0,0,0,19,0,0,0,0,0,2,0,0,9,0,1,1,0,0,0,0,0,0,3,4,0,10,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45268,0,0
"Zotu.0007",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,1,1,0,0,0,12,0,0,0,30791,0,401,0,0,0,1,0,0,0,0,0,0,0,1,0,1,21,0,0,0,0,0,0,0
"Zotu.0008",0,0,428,0,0,0,0,2,100,0,0,0,2,0,1,4047,0,0,0,441,1,0,74,0,0,37,0,56,0,0,0,2,113,85,136,121,0,0,0,491,0,0,0,3,0,0,175,0,30,0,6,1,0,88,0,9692,137,0,0,5407,9859,73,0,0,1588,0,3103,186
"Zotu.0009",1,0,0,472,0,0,0,0,0,0,0,2,0,0,1,9152,38,1,0,0,0,1,0,217,1575,2045,0,0,0,4,5,0,0,0,15,30,0,0,0,166,0,0,2,2,0,0,3,757,86,1,625,0,0,0,66,7777,0,0,0,1513,4490,724,0,2,555,0,120,670
"Zotu.0010",432,219,0,462,0,875,23,380,576,526,76,0,0,82,0,455,300,433,962,6,619,2,0,11,0,1840,4249,5,3,374,1234,246,0,385,0,735,723,2998,20,59,3009,2,1,81,835,2,0,36,162,0,0,0,0,3,0,620,173,15,418,475,128,349,0,13,61,4469,0,0
