"","Kingdom","Phylum","Class","Order","Family","Genus","Species","Silva.ref"
"Zotu.0001","Bacteria","Cyanobacteria","Chloroplast","Chloroplast_or","Chloroplast_fa","Chloroplast_ge","Chloroplast_ge_unclass","AC204691.ZeaMa145_94.44_Cylindrospermum_stagnale_Loriellopsis_cavernicola_1166_85.849"
"Zotu.0002","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Pantoea","Pantoea_agglomerans","AB244440.GH9Sp120_99.66_Pantoea_agglomerans_1463_99.385"
"Zotu.0003","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella","Shigella_flexneri","AAJU02000006.Esch1115_99.74_Shigella_flexneri_1463_99.658"
"Zotu.0004","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus_aureus","AB598743.F3CAu436_100_Staphylococcus_aureus_1473_99.864"
"Zotu.0005","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Lawsonella","Lawsonella_unclass","CP012390.M7RCleve_93.99_Dietzia_timorensis_1442_95.146"
"Zotu.0006","Bacteria","Cyanobacteria","Chloroplast","Chloroplast_or","Chloroplast_fa","Chloroplast_ge","Chloroplast_ge_unclass","DQ629457.Ds1Spec2_98.5_Loriellopsis_cavernicola_1420_86.62"
"Zotu.0007","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseriaceae_unclass","Neisseriaceae_unclass","FM872796.Unc30040_97.53_Snodgrassella_alvi_1467_91.82"
"Zotu.0008","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","Faecalibacterium_prausnitzii","BAAU01000686.G7WHuG67_98.12_Faecalibacterium_prausnitzii_1433_97.627"
"Zotu.0009","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_fragilis","AB510701.GG7Fra28_99.93_Bacteroides_fragilis_1450_100"
"Zotu.0010","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas_fluorescens","AB013253.UncP2539_100_Pseudomonas_fluorescens_1459_99.931"
"Zotu.0011","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium_1","Corynebacterium_tuberculostearicum","ABYQ02000006.GV2Pseu5_99.87_Corynebacterium_tuberculostearicum_1439_99.931"
"Zotu.0012","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Sphingomonas_panni","DQ395621.UncO6424_98.69_Sphingomonas_panni_1406_99.36"
"Zotu.0013","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","Mitochondria_ge","Mitochondria_ge_unclass","AC185461.ZeaMays0_99.74_Caedibacter_caryophilus_918_78.649"
"Zotu.0014","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Alkanindiges","Alkanindiges_illinoisensis","AF513979.H4CIllin_94.4_Alkanindiges_illinoisensis_1459_99.794"
"Zotu.0015","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium_1","Corynebacterium_ihumii","AM697345.Unc04zkt_97.89_Corynebacterium_ihumii_1440_97.292"
"Zotu.0016","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus_oralis","ADMV01000001.S53Orali_99.02_Streptococcus_oralis_1470_100"
"Zotu.0017","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Enterobacter","Enterobacter_soli","AB098582.EebS1147_100_Enterobacter_soli_1461_99.452"
